Id,Artículo,Nombre,Presentación,Valor_Nutricional,Cantidad_Base,Precio_Unidad_Base,Número_Valoraciones,Valoración,Precio_Anterior,Precio_Actual,Fecha_Extracción
175,"Foie gras entero de pato Eroski SELEQTIA, blister 100 g",Foie gras entero de pato Eroski SELEQTIA,blister 100 g,score-e,KILO,85.50,4,4.7,NaN,8.55,2020-04-10
176,"Albondigas en salsa EROSKI, lata 415 g",Albondigas en salsa EROSKI,lata 415 g,score-b,KILO,2.46,0,0,NaN,1.02,2020-04-10
177,"Hamburguesa ternera-ajo E. LABEL SELEQTIA, 4 unid, bandeja 480 g",Hamburguesa ternera-ajo E. LABEL SELEQTIA,4 unid,score-c,KILO,12.92,2,5.0,NaN,6.20,2020-04-10
178,"Biactive 0% con mango-frutos rojos EROSKI, pack 4x125 g",Biactive 0% con mango-frutos rojos EROSKI,pack 4x125 g,score-a,KILO,2.08,0,0,NaN,1.04,2020-04-10
179,"Bonito en escabeche EROSKI, lata 111 g",Bonito en escabeche EROSKI,lata 111 g,score-a,KILO,17.93,0,0,NaN,1.99,2020-04-10
180,"Pan de molde cereales-semillas sin gluten EROSKI, paquete 350 g",Pan de molde cereales-semillas sin gluten EROSKI,paquete 350 g,score-b,KILO,8.71,0,0,NaN,3.05,2020-04-10
181,"Salchichas Bratwurst Eroski SELEQTIA, sobre 540 g",Salchichas Bratwurst Eroski SELEQTIA,sobre 540 g,score-e,KILO,7.39,2,5.0,NaN,3.99,2020-04-10
182,"Cacahuetes fritos con miel EROSKI, bolsa 100 g",Cacahuetes fritos con miel EROSKI,bolsa 100 g,score-c,KILO,10.60,0,0,NaN,1.06,2020-04-10
183,"Mortadela EROSKI basic, sobre 250 g",Mortadela EROSKI basic,sobre 250 g,score-d,KILO,3.60,0,0,NaN,0.90,2020-04-10
184,"Medallón de pechuga de pollo al pimentón EROSKI, bandeja aprox. 600 g",Medallón de pechuga de pollo al pimentón EROSKI,bandeja aprox. 600 g,score-b,KILO,7.95,2,5.0,NaN,4.77,2020-04-10
185,"Paté de Foie de pato EROSKI, blister 100 g",Paté de Foie de pato EROSKI,blister 100 g,score-e,KILO,31.50,0,0,NaN,3.15,2020-04-10
186,"Caldo de verduras EROSKI, brik 1 litro",Caldo de verduras EROSKI,brik 1 litro,score-c,NaN,NaN,0,0,NaN,0.95,2020-04-10
187,"Chorizo cular extra EROSKI, al corte, compra mínima 100 g",Chorizo cular extra EROSKI,al corte,score-e,KILO,19.40,2,4.5,NaN,1.94,2020-04-10
188,"Callos con chorizo EROSKI, lata 380 g",Callos con chorizo EROSKI,lata 380 g,score-c,KILO,4.47,0,0,NaN,1.70,2020-04-10
189,"Arroz con leche Eroski SELEQTIA, tarro de barro 140 g",Arroz con leche Eroski SELEQTIA,tarro de barro 140 g,score-c,KILO,6.43,2,5.0,NaN,0.90,2020-04-10
190,"Estofado de pavo al ajillo EROSKI, bandeja aprox. 400 g",Estofado de pavo al ajillo EROSKI,bandeja aprox. 400 g,score-b,KILO,6.00,0,0,NaN,2.40,2020-04-10
191,"Biactive con frutas del bosque EROSKI, pack 4x125 g",Biactive con frutas del bosque EROSKI,pack 4x125 g,score-b,KILO,2.08,1,5.0,NaN,1.04,2020-04-10
192,"Parrillada con gambas EROSKI, bolsa 500 g",Parrillada con gambas EROSKI,bolsa 500 g,score-a,KILO,5.18,2,5.0,NaN,2.59,2020-04-10
193,"Lomo embuchado EROSKI, al corte, compra mínima 100 g",Lomo embuchado EROSKI,al corte,score-d,KILO,23.10,0,0,NaN,2.31,2020-04-10
