Id,Artículo,Nombre,Presentación,Valor_Nutricional,Cantidad_Base,Precio_Unidad_Base,Número_Valoraciones,Valoración,Precio_Anterior,Precio_Actual,Fecha_Extracción
286,"Batido de vainilla EROSKI, pack 6x200 ml",Batido de vainilla EROSKI,pack 6x200 ml,score-b,LITRO,0.90,0,0,NaN,1.09,2020-04-10
287,"Pan rallado sin gluten EROSKI, paquete 200 g",Pan rallado sin gluten EROSKI,paquete 200 g,score-d,KILO,9.95,0,0,NaN,1.99,2020-04-10
288,"Tortilla fresca de patata con cebolla EROSKI, 1 ud., 200 g",Tortilla fresca de patata con cebolla EROSKI,1 ud.,score-c,KILO,4.95,0,0,NaN,0.99,2020-04-10
289,"Caramelo sin azúcar de menta EROSKI, bolsa 90 g",Caramelo sin azúcar de menta EROSKI,bolsa 90 g,score-b,KILO,8.67,0,0,NaN,0.78,2020-04-10
290,"Salchichón cular ibérico EROSKI, pieza 500 g",Salchichón cular ibérico EROSKI,pieza 500 g,score-e,KILO,15.30,0,0,NaN,7.65,2020-04-10
291,"Maíz frito gigante EROSKI, bolsa 170 g",Maíz frito gigante EROSKI,bolsa 170 g,score-c,KILO,5.94,0,0,NaN,1.01,2020-04-10
292,"Pechuga pavo reducida sal EROSKI Sannia, al corte, compra mínima 100 g",Pechuga pavo reducida sal EROSKI Sannia,al corte,score-b,KILO,9.80,0,0,NaN,0.98,2020-04-10
293,"Pannacotta caramelo EROSKI, pack 4x90g",Pannacotta caramelo EROSKI,pack 4x90g,score-c,KILO,3.22,1,5.0,NaN,1.14,2020-04-10
294,"Cookies con pepitas choco sin gluten EROSKI, paquete 150 g",Cookies con pepitas choco sin gluten EROSKI,paquete 150 g,score-e,KILO,17.93,0,0,NaN,2.69,2020-04-10
295,"Petit Fruits con fresa EROSKI, pack 6x55 g",Petit Fruits con fresa EROSKI,pack 6x55 g,score-b,KILO,2.18,0,0,NaN,0.70,2020-04-10
296,"Queso fresco sin sal EROSKI, pack 4x62,5 g",Queso fresco sin sal EROSKI,pack 4x62,score-c,KILO,4.52,1,5.0,NaN,1.13,2020-04-10
297,"Mini polo de naranja-limón EROSKI, 8 uds., caja 480 g",Mini polo de naranja-limón EROSKI,8 uds.,score-c,KILO,3.04,0,0,NaN,1.46,2020-04-10
298,"Natillas de huevo Eroski SELEQTIA, tarro de barro 140 g",Natillas de huevo Eroski SELEQTIA,tarro de barro 140 g,score-c,KILO,7.07,2,5.0,NaN,0.99,2020-04-10
299,"Salsa ligera EROSKI Sannia, frasco 450 ml",Salsa ligera EROSKI Sannia,frasco 450 ml,score-c,LITRO,2.13,0,0,NaN,0.96,2020-04-10
300,"Paté de pato EROSKI Maestro, blister 75 g",Paté de pato EROSKI Maestro,blister 75 g,score-e,KILO,22.00,0,0,NaN,1.65,2020-04-10
301,"Gazpacho original EROSKI, brik 330 ml",Gazpacho original EROSKI,brik 330 ml,score-a,LITRO,2.58,1,5.0,NaN,0.85,2020-04-10
302,"Garbanzos con verduras EROSKI, frasco 400 g",Garbanzos con verduras EROSKI,frasco 400 g,NaN,KILO,2.55,1,5.0,NaN,1.02,2020-04-10
303,"Cookies triple de choco sin gluten EROSKI, paquete 150 g",Cookies triple de choco sin gluten EROSKI,paquete 150 g,score-e,KILO,19.93,0,0,NaN,2.99,2020-04-10
304,"Sorbete de mandarina EROSKI, tarrina 615 g",Sorbete de mandarina EROSKI,tarrina 615 g,score-c,KILO,3.33,0,0,NaN,2.05,2020-04-10
305,"Almendras larguetas con piel tostada-salada EROSKI, bolsa 185 g",Almendras larguetas con piel tostada-salada EROSKI,bolsa 185 g,score-c,KILO,18.32,0,0,NaN,3.39,2020-04-10
306,"Bombón almendrado relleno de chocolate EROSKI, pack 6x75 ml",Bombón almendrado relleno de chocolate EROSKI,pack 6x75 ml,score-e,LITRO,4.56,0,0,NaN,2.05,2020-04-10
307,"Yogur natural de leche de cabra Eroski SELEQTIA, pack 2x115 g",Yogur natural de leche de cabra Eroski SELEQTIA,pack 2x115 g,score-b,KILO,7.65,0,0,NaN,1.75,2020-04-10
308,"Batido de fresa EROSKI, pack 6x200 ml",Batido de fresa EROSKI,pack 6x200 ml,score-b,LITRO,0.90,0,0,NaN,1.09,2020-04-10
309,"Salsa César EROSKI, bote 300 g",Salsa César EROSKI,bote 300 g,score-d,KILO,4.07,0,0,NaN,1.22,2020-04-10
310,"Pechuga de pavo EROSKI, pack 2x150 g",Pechuga de pavo EROSKI,pack 2x150 g,score-c,KILO,9.97,0,0,NaN,2.99,2020-04-10
311,"Caldo para paella EROSKI, brik 1 litro",Caldo para paella EROSKI,brik 1 litro,score-c,NaN,NaN,0,0,NaN,1.95,2020-04-10
312,"Salchichón de Salamanca extra EROSKI, al corte, compra mínima 100 g",Salchichón de Salamanca extra EROSKI,al corte,score-e,KILO,14.90,0,0,1.72,1.49,2020-04-10
313,"Hamburguesa ternera XXL E. LABEL SELEQTIA, 2 unid, bandeja 480 g",Hamburguesa ternera XXL E. LABEL SELEQTIA,2 unid,score-c,KILO,12.71,3,5.0,NaN,6.10,2020-04-10
314,"Palomitinas de maíz sabor mantequilla EROSKI, bolsa 55 g",Palomitinas de maíz sabor mantequilla EROSKI,bolsa 55 g,score-c,KILO,11.09,0,0,NaN,0.61,2020-04-10
315,"Jamón cocido extra EROSKI MAESTRO, al corte, compra mínima 100 g",Jamón cocido extra EROSKI MAESTRO,al corte,score-c,KILO,10.20,4,4.7,NaN,1.02,2020-04-10
316,"Cacahuetes fritos EROSKI, tarrina 200 g",Cacahuetes fritos EROSKI,tarrina 200 g,score-d,KILO,5.90,0,0,NaN,1.18,2020-04-10
317,"Guspitos de maíz EROSKI, bolsa 80 g",Guspitos de maíz EROSKI,bolsa 80 g,score-c,KILO,9.88,1,5.0,NaN,0.79,2020-04-10
318,"Magro de cerdo adobado fileteado EROSKI , bandeja 300 g",Magro de cerdo adobado fileteado EROSKI,bandeja 300 g,score-d,KILO,7.33,0,0,NaN,2.20,2020-04-10
319,"Lactozumo tropical EROSKI, pack 3x330 ml",Lactozumo tropical EROSKI,pack 3x330 ml,score-b,LITRO,0.70,0,0,NaN,0.69,2020-04-10
320,"Pechuga de pavo cocida-ahumada EROSKI Maestro, bandeja 125 g",Pechuga de pavo cocida-ahumada EROSKI Maestro,bandeja 125 g,score-d,KILO,17.20,1,5.0,NaN,2.15,2020-04-10
321,"Maxi choco SCHÄR, paquete 250 g",Maxi choco SCHÄR,paquete 250 g,NaN,KILO,11.80,0,0,NaN,2.95,2020-04-10
322,"Panceta curada adobada EROSKI, al corte, compra mínima 100 g",Panceta curada adobada EROSKI,al corte,score-e,KILO,16.80,0,0,NaN,1.68,2020-04-10
323,"Preparado de cacao a la taza EROSKI, paquete 400 g",Preparado de cacao a la taza EROSKI,paquete 400 g,score-b,KILO,3.35,0,0,NaN,1.34,2020-04-10
324,"Pan Payés SCHAR, paquete 240 g",Pan Payés SCHAR,paquete 240 g,NaN,KILO,12.46,0,0,NaN,2.99,2020-04-10
325,"Tomate frito bajo en sal-sin azúcar EROSKI Sannia, frasco 300 g",Tomate frito bajo en sal-sin azúcar EROSKI Sannia,frasco 300 g,score-a,KILO,1.80,2,5.0,NaN,0.54,2020-04-10
326,"Crema catalana EROSKI, tarrina 150 g",Crema catalana EROSKI,tarrina 150 g,score-c,KILO,4.97,0,0,NaN,0.77,2020-04-10
327,"Salsa ligera EROSKI Sannia, bote 430 ml",Salsa ligera EROSKI Sannia,bote 430 ml,score-c,LITRO,2.72,0,0,NaN,1.17,2020-04-10
328,"Chorizo pincho EROSKI, bandeja 220 g",Chorizo pincho EROSKI,bandeja 220 g,score-e,KILO,11.14,0,0,NaN,2.45,2020-04-10
329,"Chistorra al natural ALEJANDRO, pieza 200 g",Chistorra al natural ALEJANDRO,pieza 200 g,NaN,KILO,12.45,0,0,NaN,2.49,2020-04-10
330,"Salchichas Frankfurt EROSKI basic, sobre 170 g",Salchichas Frankfurt EROSKI basic,sobre 170 g,score-d,KILO,2.63,0,0,NaN,0.42,2020-04-10
331,"Cabecero de lomo EROSKI, al corte, compra mínima 100 g",Cabecero de lomo EROSKI,al corte,score-d,KILO,17.70,0,0,NaN,1.77,2020-04-10
332,"Soluble cacao EROSKI, bote 500 g",Soluble cacao EROSKI,bote 500 g,score-b,KILO,4.10,0,0,NaN,2.05,2020-04-10
333,"Crema de verduras de la huerta EROSKI, brik 500 g",Crema de verduras de la huerta EROSKI,brik 500 g,score-c,KILO,2.28,0,0,NaN,1.14,2020-04-10
334,"Carne de membrillo con nueces Eroski SELEQTIA, tarrina 200 g",Carne de membrillo con nueces Eroski SELEQTIA,tarrina 200 g,score-c,KILO,9.95,0,0,NaN,1.99,2020-04-10
335,"Lomo cebo campo ibérico 50% raza ibérica EROSKI, taco 300 g",Lomo cebo campo ibérico 50% raza ibérica EROSKI,taco 300 g,score-e,KILO,40.83,0,0,NaN,12.25,2020-04-10
336,"Bebida de soja-chocolate EROSKI, brik 1 litro",Bebida de soja-chocolate EROSKI,brik 1 litro,score-b,NaN,NaN,0,0,NaN,1.09,2020-04-10
337,"Sardinilla en escabeche EROSKI, lata 90 g",Sardinilla en escabeche EROSKI,lata 90 g,score-c,KILO,9.78,0,0,NaN,0.88,2020-04-10
338,"Jamón de pato curado Eroski SELEQTIA, sobre 50 g",Jamón de pato curado Eroski SELEQTIA,sobre 50 g,score-e,KILO,63.00,1,5.0,NaN,3.15,2020-04-10
339,"Chorizo Pamplona-Salchichón EROSKI, pack 2x90 g",Chorizo Pamplona-Salchichón EROSKI,pack 2x90 g,score-e,KILO,10.83,0,0,NaN,1.95,2020-04-10
340,"Lomo bellota 100% ibérico SELEQTIA, al corte, compra mínima 100 g",Lomo bellota 100% ibérico SELEQTIA,al corte,score-e,KILO,72.50,3,5.0,NaN,7.25,2020-04-10
341,"Caramelo de miel-limón sin azúcar EROSKI, bolsa 90 g",Caramelo de miel-limón sin azúcar EROSKI,bolsa 90 g,score-c,KILO,8.67,0,0,NaN,0.78,2020-04-10
342,"Fuet extra EROSKI basic, pack 2x170 g",Fuet extra EROSKI basic,pack 2x170 g,score-e,KILO,8.71,0,0,NaN,2.96,2020-04-10
343,"Caramelos surtidos EROSKI, bolsa 150 g",Caramelos surtidos EROSKI,bolsa 150 g,score-d,KILO,6.27,0,0,NaN,0.94,2020-04-10
344,"Baguette SCHÄR, pack 2x175 g",Baguette SCHÄR,pack 2x175 g,NaN,KILO,8.54,0,0,NaN,2.99,2020-04-10
345,"Chocolate a la taza EROSKI, brik 1 litro",Chocolate a la taza EROSKI,brik 1 litro,score-c,NaN,NaN,0,0,NaN,1.45,2020-04-10
346,"Tocino de cielo EROSKI, pack 2x100 g",Tocino de cielo EROSKI,pack 2x100 g,score-c,KILO,5.20,1,5.0,NaN,1.04,2020-04-10
347,"Salsa basilico EROSKI, frasco 350 g",Salsa basilico EROSKI,frasco 350 g,score-c,KILO,3.54,0,0,NaN,1.24,2020-04-10
348,"Pechuga de pavo adobada EROSKI Sannia, bandeja 350 g",Pechuga de pavo adobada EROSKI Sannia,bandeja 350 g,score-a,KILO,9.00,0,0,NaN,3.15,2020-04-10
349,"Chorizo dulce-Pamplona EROSKI, pack 2x90 g",Chorizo dulce-Pamplona EROSKI,pack 2x90 g,score-e,KILO,10.83,0,0,NaN,1.95,2020-04-10
350,"Jalea real con ginseng EROSKI, caja 10 viales",Jalea real con ginseng EROSKI,caja 10 viales,score-c,UNIDAD,0.58,0,0,NaN,5.75,2020-04-10
351,"Sorbete palo de fresa-yogur EROSKI, 6 uds., caja 320 g",Sorbete palo de fresa-yogur EROSKI,6 uds.,score-c,KILO,4.97,0,0,NaN,1.59,2020-04-10
352,"Mortadela EROSKI basic, pieza 400 g",Mortadela EROSKI basic,pieza 400 g,score-d,KILO,3.45,0,0,NaN,1.38,2020-04-10
353,"Salsa ricotta EROSKI, frasco 350 g",Salsa ricotta EROSKI,frasco 350 g,score-c,KILO,3.54,0,0,NaN,1.24,2020-04-10
354,"Pechuga fileteada de pollo empanada EROSKI, bandeja aprox. 400 g",Pechuga fileteada de pollo empanada EROSKI,bandeja aprox. 400 g,score-a,KILO,8.95,0,0,NaN,3.58,2020-04-10
355,"Chopped de cerdo EROSKI basic, sobre 250 g",Chopped de cerdo EROSKI basic,sobre 250 g,score-d,KILO,4.00,0,0,NaN,1.00,2020-04-10
356,"Cacahuetes con chocolate negro EROSKI, bolsa 150 g",Cacahuetes con chocolate negro EROSKI,bolsa 150 g,score-e,KILO,7.27,1,5.0,NaN,1.09,2020-04-10
357,"Chocogalleta SCHÄR, paquete 150 g",Chocogalleta SCHÄR,paquete 150 g,NaN,KILO,13.87,0,0,NaN,2.08,2020-04-10
358,"Nuggets de pollo EROSKI, bandeja 280 g",Nuggets de pollo EROSKI,bandeja 280 g,score-b,KILO,8.93,0,0,NaN,2.50,2020-04-10
359,"Sorbete palo de mango-yogur EROSKI, 6 uds., caja 320 g",Sorbete palo de mango-yogur EROSKI,6 uds.,score-c,KILO,5.16,0,0,NaN,1.65,2020-04-10
360,"Lactozumo Mediterráneo EROSKI, brik 1 litro",Lactozumo Mediterráneo EROSKI,brik 1 litro,score-b,NaN,NaN,0,0,NaN,0.64,2020-04-10
361,"Crema de calabaza EROSKI, brik 500 g",Crema de calabaza EROSKI,brik 500 g,score-b,KILO,2.28,0,0,NaN,1.14,2020-04-10
362,"Pincho de pavo tradicional EROSKI, bandeja 360 g",Pincho de pavo tradicional EROSKI,bandeja 360 g,score-b,KILO,9.72,0,0,NaN,3.50,2020-04-10
363,"Choco chip cookies SCHAR, paquete 200 g",Choco chip cookies SCHAR,paquete 200 g,NaN,KILO,11.85,0,0,NaN,2.37,2020-04-10
364,"Almendras garrapiñadas EROSKI, tarrina 185 g",Almendras garrapiñadas EROSKI,tarrina 185 g,score-d,KILO,16.16,0,0,NaN,2.99,2020-04-10
365,"Mix de frutos secos classic EROSKI, tarrina 165 g",Mix de frutos secos classic EROSKI,tarrina 165 g,score-b,KILO,13.27,1,4.0,NaN,2.19,2020-04-10
366,"Cortezas de cerdo EROSKI, paquete 75 g",Cortezas de cerdo EROSKI,paquete 75 g,score-e,KILO,8.80,0,0,NaN,0.66,2020-04-10
367,"Pasa sultana con chocolate con leche EROSKI, bolsa 150 g",Pasa sultana con chocolate con leche EROSKI,bolsa 150 g,score-d,KILO,11.27,1,5.0,NaN,1.69,2020-04-10
368,"Cookies de choco blanco sin gluten EROSKI, paquete 150 g",Cookies de choco blanco sin gluten EROSKI,paquete 150 g,score-e,KILO,17.93,0,0,NaN,2.69,2020-04-10
369,"Bloc foie gras de pato Eroski SELEQTIA, al corte, compra mínima 100 g",Bloc foie gras de pato Eroski SELEQTIA,al corte,score-e,KILO,54.00,1,4.0,NaN,5.40,2020-04-10
370,"Almendras tostadas EROSKI, tarrina 150 g",Almendras tostadas EROSKI,tarrina 150 g,score-a,KILO,16.60,0,0,NaN,2.49,2020-04-10
371,"Corn Flakes SCHÄR, paquete 250 g",Corn Flakes SCHÄR,paquete 250 g,NaN,KILO,8.52,0,0,NaN,2.13,2020-04-10
372,"Biscotes PROCELI, caja 150 g",Biscotes PROCELI,caja 150 g,NaN,KILO,23.87,0,0,NaN,3.58,2020-04-10
373,"Chocolate a la taza EROSKI, tableta 300 g",Chocolate a la taza EROSKI,tableta 300 g,score-c,KILO,5.17,0,0,NaN,1.55,2020-04-10
374,"Salchicha de pollo-pavo Eroski SELEQTIA, sobre 360 g",Salchicha de pollo-pavo Eroski SELEQTIA,sobre 360 g,score-d,KILO,8.03,0,0,NaN,2.89,2020-04-10
375,"Maíz frito gigante sabor barbacoa EROSKI, tarrina 130 g",Maíz frito gigante sabor barbacoa EROSKI,tarrina 130 g,score-b,KILO,9.08,0,0,NaN,1.18,2020-04-10
376,"Queso crema con rulo de cabra Eroski SELEQTIA, tarrina 150 g",Queso crema con rulo de cabra Eroski SELEQTIA,tarrina 150 g,score-d,KILO,12.20,1,5.0,NaN,1.83,2020-04-10
377,"Mini Choco SCHÄR, paquete 100 g",Mini Choco SCHÄR,paquete 100 g,NaN,KILO,15.50,0,0,NaN,1.55,2020-04-10
378,"Muslito de pollo asado con jamón EROSKI Maestro, bandeja 125 g",Muslito de pollo asado con jamón EROSKI Maestro,bandeja 125 g,score-d,KILO,18.32,0,0,NaN,2.29,2020-04-10
379,"Picos sin gluten EROSKI, bolsa 100 g",Picos sin gluten EROSKI,bolsa 100 g,score-d,KILO,17.00,0,0,NaN,1.70,2020-04-10
380,"Filete lomo fino ibérico adobado Eroski SELEQTIA, bandeja aprox. 150 g",Filete lomo fino ibérico adobado Eroski SELEQTIA,bandeja aprox. 150 g,score-d,KILO,23.93,0,0,NaN,3.59,2020-04-10
381,"Caballa con tomate EROSKI, lata 85 g",Caballa con tomate EROSKI,lata 85 g,score-a,KILO,8.82,0,0,NaN,0.75,2020-04-10
382,"Pipas de calabaza EROSKI, tarrina 150 g",Pipas de calabaza EROSKI,tarrina 150 g,score-e,KILO,9.13,0,0,NaN,1.37,2020-04-10
383,"Plumas sin gluten SAM MILLS, paquete 500 g",Plumas sin gluten SAM MILLS,paquete 500 g,NaN,KILO,3.32,0,0,NaN,1.66,2020-04-10
384,"Tortita de maíz sin gluten EROSKI, paquete 130 g",Tortita de maíz sin gluten EROSKI,paquete 130 g,score-b,KILO,7.62,0,0,NaN,0.99,2020-04-10
385,"Morcón ibérico extra EROSKI, al corte, compra mínima 100 g",Morcón ibérico extra EROSKI,al corte,score-e,KILO,27.30,0,0,NaN,2.73,2020-04-10
386,"Soluble de cacao fibra EROSKI, bote 400 g",Soluble de cacao fibra EROSKI,bote 400 g,score-a,KILO,8.13,0,0,NaN,3.25,2020-04-10
387,"Mix de frutos secos select EROSKI, tarrina 175 g",Mix de frutos secos select EROSKI,tarrina 175 g,score-c,KILO,14.00,0,0,NaN,2.45,2020-04-10
388,"Chorizo troncal ALEJANDRO, pieza 300 g",Chorizo troncal ALEJANDRO,pieza 300 g,NaN,KILO,17.30,0,0,NaN,5.19,2020-04-10
389,"Queso crema de cabra con nueces Eroski SELEQTIA, tarrina 150 g",Queso crema de cabra con nueces Eroski SELEQTIA,tarrina 150 g,score-c,KILO,12.60,2,4.5,NaN,1.89,2020-04-10
390,"Tentáculos de calamar a la gallega EROSKI, lata 115 g",Tentáculos de calamar a la gallega EROSKI,lata 115 g,score-b,KILO,11.22,0,0,NaN,1.29,2020-04-10
391,"Cookies de choco c/ leche-avell. s/ gluten EROSKI, paquete 150 g",Cookies de choco c/ leche-avell. s/ gluten EROSKI,paquete 150 g,score-e,KILO,19.93,1,5.0,NaN,2.99,2020-04-10
392,"Regañas sin gluten EROSKI, bolsa 100 g",Regañas sin gluten EROSKI,bolsa 100 g,score-d,KILO,17.00,0,0,NaN,1.70,2020-04-10
393,"Pan de molde sin gluten ADPAN, paquete 600 g",Pan de molde sin gluten ADPAN,paquete 600 g,NaN,KILO,7.65,0,0,NaN,4.59,2020-04-10
394,"Chorizo dulce-Salchichón EROSKI, pack 2x90 g",Chorizo dulce-Salchichón EROSKI,pack 2x90 g,score-e,KILO,10.83,0,0,NaN,1.95,2020-04-10
395,"Tortita de arroz sin gluten EROSKI, paquete 130 g",Tortita de arroz sin gluten EROSKI,paquete 130 g,score-a,KILO,7.62,0,0,NaN,0.99,2020-04-10
396,"Bizcocho Marble Cake SCHÄR, paquete 250 g",Bizcocho Marble Cake SCHÄR,paquete 250 g,NaN,KILO,12.12,0,0,NaN,3.03,2020-04-10
397,"Snack SCHÄR, paquete 105 g",Snack SCHÄR,paquete 105 g,NaN,KILO,22.38,0,0,NaN,2.35,2020-04-10
398,"Cookies de choco blanco-limón sin gluten EROSKI, paquete 150 g",Cookies de choco blanco-limón sin gluten EROSKI,paquete 150 g,score-e,KILO,19.93,0,0,NaN,2.99,2020-04-10
399,"Cracker SCHAR, caja 210 g",Cracker SCHAR,caja 210 g,NaN,KILO,19.95,0,0,NaN,4.19,2020-04-10
400,"Lomo embuchado EROSKI, taco 400 g",Lomo embuchado EROSKI,taco 400 g,score-d,KILO,20.38,0,0,NaN,8.15,2020-04-10
401,"Milly Gris&Ciocc para untar SCHÄR, bote 52 g",Milly Gris&Ciocc para untar SCHÄR,bote 52 g,NaN,KILO,34.42,0,0,NaN,1.79,2020-04-10
402,"Cereales Corn Flakes SCHAR, caja 300 g",Cereales Corn Flakes SCHAR,caja 300 g,NaN,KILO,15.17,0,0,NaN,4.55,2020-04-10
403,"Chopped EROSKI basic mini, pieza 400g",Chopped EROSKI basic mini,pieza 400g,score-d,KILO,4.13,0,0,NaN,1.65,2020-04-10
404,"Chocolate a la taza EROSKI, bote 350 g",Chocolate a la taza EROSKI,bote 350 g,score-b,KILO,3.57,0,0,NaN,1.25,2020-04-10
405,"Chocolate con leche-almendras enteras EROSKI, tableta 200 g",Chocolate con leche-almendras enteras EROSKI,tableta 200 g,score-e,KILO,7.25,1,5.0,NaN,1.45,2020-04-10
406,"Galleta con mantequilla sin gluten GERBLÉ, caja 175 g",Galleta con mantequilla sin gluten GERBLÉ,caja 175 g,NaN,KILO,19.37,0,0,NaN,3.39,2020-04-10
407,"Membrillo artesano panela light EROSKI, al corte, compra mínima 250 g",Membrillo artesano panela light EROSKI,al corte,score-a,KILO,7.52,0,0,NaN,1.88,2020-04-10
408,"Panzerottini Prosciutto & Formaggio SCHAR, caja 210 g",Panzerottini Prosciutto & Formaggio SCHAR,caja 210 g,NaN,KILO,15.62,0,0,NaN,3.28,2020-04-10
409,"Chorizo de Salamanca EROSKI, pieza 400 g",Chorizo de Salamanca EROSKI,pieza 400 g,score-e,KILO,14.88,0,0,NaN,5.95,2020-04-10
410,"Magdalena sin gluten GERBLÉ, caja 180 g",Magdalena sin gluten GERBLÉ,caja 180 g,NaN,KILO,20.28,0,0,NaN,3.65,2020-04-10
411,"Crema de calabacín con queso EROSKI, brik 500 g",Crema de calabacín con queso EROSKI,brik 500 g,score-c,KILO,2.28,0,0,NaN,1.14,2020-04-10
412,"Salsa de yogur EROSKI, bote 300 g",Salsa de yogur EROSKI,bote 300 g,score-c,KILO,4.07,0,0,NaN,1.22,2020-04-10
413,"Waffers de chocolate sin gluten PROCELI, caja 130 g",Waffers de chocolate sin gluten PROCELI,caja 130 g,NaN,KILO,23.46,0,0,NaN,3.05,2020-04-10
414,"Bizcocho de naranja sin gluten EROSKI, bolsa 300 g",Bizcocho de naranja sin gluten EROSKI,bolsa 300 g,score-d,KILO,9.97,0,0,NaN,2.99,2020-04-10
415,"Palmera de chocolate ADPAN, 2 unid., caja 100 g",Palmera de chocolate ADPAN,2 unid.,NaN,KILO,40.90,0,0,NaN,4.09,2020-04-10
416,"Grissini SCHAR, pack 3x50 g",Grissini SCHAR,pack 3x50 g,NaN,KILO,21.20,0,0,NaN,3.18,2020-04-10
417,"Caramelos de regalíz sin azúcar EROSKI, bolsa 90 g",Caramelos de regalíz sin azúcar EROSKI,bolsa 90 g,score-b,KILO,8.67,0,0,NaN,0.78,2020-04-10
418,"Crema de verdura mediterránea EROSKI, brik 500 g",Crema de verdura mediterránea EROSKI,brik 500 g,score-b,KILO,2.28,0,0,NaN,1.14,2020-04-10
419,"Mini tortita sabor jamón EROSKI, bolsa 60 g",Mini tortita sabor jamón EROSKI,bolsa 60 g,score-d,KILO,16.50,0,0,NaN,0.99,2020-04-10
420,"Almendras con chocolate negro EROSKI, bolsa 150 g",Almendras con chocolate negro EROSKI,bolsa 150 g,score-e,KILO,13.27,0,0,NaN,1.99,2020-04-10
421,"Mix C Mix repostería SCHAR, paquete 1 kg",Mix C Mix repostería SCHAR,paquete 1 kg,NaN,NaN,NaN,0,0,NaN,4.59,2020-04-10
422,"Bizcocho marmol sin gluten EROSKI, bolsa 300 g",Bizcocho marmol sin gluten EROSKI,bolsa 300 g,score-d,KILO,9.97,0,0,NaN,2.99,2020-04-10
423,"Morcilla de arroz pincho EROSKI, sobre aprox. 550 g",Morcilla de arroz pincho EROSKI,sobre aprox. 550 g,score-c,KILO,5.73,0,0,NaN,3.15,2020-04-10
424,"Tortitas sabor barbacoa EROSKI, paquete 125 g",Tortitas sabor barbacoa EROSKI,paquete 125 g,score-d,KILO,11.84,0,0,NaN,1.48,2020-04-10
425,"Ciabattine SCHAR, paquete 200 g",Ciabattine SCHAR,paquete 200 g,NaN,KILO,17.95,0,0,NaN,3.59,2020-04-10
426,"Mix de frutos secos sabor barbacoa EROSKI, bolsa 160 g",Mix de frutos secos sabor barbacoa EROSKI,bolsa 160 g,score-d,KILO,6.13,0,0,NaN,0.98,2020-04-10
427,"Paté de pato-cebolla caramelizada EROSKI Maestro, blister 75 g",Paté de pato-cebolla caramelizada EROSKI Maestro,blister 75 g,score-e,KILO,22.00,0,0,NaN,1.65,2020-04-10
428,"Mini bizcocho de chocolate sin gluten GERBLÉ, caja 200 g",Mini bizcocho de chocolate sin gluten GERBLÉ,caja 200 g,NaN,KILO,24.95,0,0,NaN,4.99,2020-04-10
429,"Galleta Digestive con cacao sin glúten NOGLUT, paquete 200 g",Galleta Digestive con cacao sin glúten NOGLUT,paquete 200 g,NaN,KILO,10.95,0,0,NaN,2.19,2020-04-10
430,"Wafers de cacao SCHÄR, paquete 150 g",Wafers de cacao SCHÄR,paquete 150 g,NaN,KILO,17.44,0,0,NaN,2.18,2020-04-10
431,"Pechuga de pavo a las finas hierbas EROSKI Sannia, bandeja 350 g",Pechuga de pavo a las finas hierbas EROSKI Sannia,bandeja 350 g,score-a,KILO,9.00,0,0,NaN,3.15,2020-04-10
432,"Salsa brava EROSKI, bocabajo 330 g",Salsa brava EROSKI,bocabajo 330 g,score-d,KILO,2.48,0,0,NaN,0.82,2020-04-10
433,"Lasagna SCHARD, bandeja 300 g",Lasagna SCHARD,bandeja 300 g,NaN,KILO,11.97,0,0,NaN,3.59,2020-04-10
434,"Salchichón extra EROSKI basic, al corte, compra mínima 100 g",Salchichón extra EROSKI basic,al corte,score-e,KILO,9.50,1,5.0,NaN,0.95,2020-04-10
435,"Ciocko Sticks SCHAR, paquete 150 g",Ciocko Sticks SCHAR,paquete 150 g,NaN,KILO,20.33,0,0,NaN,3.05,2020-04-10
436,"Chorizo magno vela ALEJANDRO, pieza 300 g",Chorizo magno vela ALEJANDRO,pieza 300 g,NaN,KILO,17.30,0,0,NaN,5.19,2020-04-10
437,"Panceta de cerdo ibérico adobado E. SELEQTIA, bandeja aprox. 350 g",Panceta de cerdo ibérico adobado E. SELEQTIA,bandeja aprox. 350 g,score-d,KILO,7.40,0,0,NaN,2.59,2020-04-10
438,"Pipas de calabaza tostada sin sal EROSKI, bolsa 75 g",Pipas de calabaza tostada sin sal EROSKI,bolsa 75 g,score-d,KILO,10.27,0,0,NaN,0.77,2020-04-10
439,"Paté de pato-trufa EROSKI Maestro, blister 75 g",Paté de pato-trufa EROSKI Maestro,blister 75 g,score-e,KILO,22.00,0,0,NaN,1.65,2020-04-10
440,"Fish Fingers SCHAR, caja 375 g",Fish Fingers SCHAR,caja 375 g,NaN,KILO,13.31,0,0,NaN,4.99,2020-04-10
441,"Petit Al Cioccolato SCHAR, paquete 130 g",Petit Al Cioccolato SCHAR,paquete 130 g,NaN,KILO,28.85,0,0,NaN,3.75,2020-04-10
442,"Salinis SCHAR, paquete 60 g",Salinis SCHAR,paquete 60 g,NaN,KILO,18.17,0,0,NaN,1.09,2020-04-10
443,"Harina sin gluten ADPAN, paquete 1 kg",Harina sin gluten ADPAN,paquete 1 kg,NaN,NaN,NaN,0,0,NaN,5.25,2020-04-10
444,"Mix de frutos secos picante EROSKI, bolsa 160 g",Mix de frutos secos picante EROSKI,bolsa 160 g,score-d,KILO,6.13,0,0,NaN,0.98,2020-04-10
